vehicle_id, count, datetime
v_2, 1, 2021-05-26 12:55:31.410563
v_1, 2, 2021-05-26 12:55:36.568632
v_3, 3, 2021-05-26 12:56:04.923153
v_4, 4, 2021-05-26 12:56:27.365381
v_5, 5, 2021-05-26 12:57:04.549347
v_6, 6, 2021-05-26 12:57:32.532332
v_7, 7, 2021-05-26 12:58:54.885989
v_8, 8, 2021-05-26 13:01:58.066645
v_9, 9, 2021-05-26 13:02:24.120149
v_10, 10, 2021-05-26 13:02:34.643114
v_11, 11, 2021-05-26 13:02:57.969425
v_12, 12, 2021-05-26 13:04:39.134479
v_13, 13, 2021-05-26 13:05:15.134410
v_14, 14, 2021-05-26 13:05:59.278393
v_18, 15, 2021-05-26 13:07:31.616239
v_20, 16, 2021-05-26 13:08:41.415145
v_15, 17, 2021-05-26 13:09:09.568479
v_17, 18, 2021-05-26 13:09:13.058504
v_21, 19, 2021-05-26 13:09:21.355571
v_22, 20, 2021-05-26 13:10:49.404580
v_23, 21, 2021-05-26 13:12:36.744383
v_24, 22, 2021-05-26 13:13:06.263857
v_25, 23, 2021-05-26 13:14:05.923428
v_26, 24, 2021-05-26 13:14:20.201339
v_27, 25, 2021-05-26 13:14:35.141246
v_28, 26, 2021-05-26 13:15:39.137627
v_29, 27, 2021-05-26 13:16:24.656318
v_30, 28, 2021-05-26 13:17:07.385007
v_31, 29, 2021-05-26 13:18:41.510824
v_33, 30, 2021-05-26 13:22:14.228247
v_36, 31, 2021-05-26 13:22:20.554370
v_35, 32, 2021-05-26 13:23:07.676844
v_38, 33, 2021-05-26 13:23:16.738203
v_37, 34, 2021-05-26 13:23:16.923520
v_39, 35, 2021-05-26 13:23:40.756395
v_41, 36, 2021-05-26 13:23:46.452718
v_34, 37, 2021-05-26 13:23:58.633803
v_40, 38, 2021-05-26 13:24:12.892209
v_42, 39, 2021-05-26 13:25:06.554047
v_44, 40, 2021-05-26 13:25:32.411130
v_43, 41, 2021-05-26 13:25:50.024474
v_45, 42, 2021-05-26 13:26:16.831345
